,review,date,overall_rating,food_rating,service_rating,ambiance_rating
0,The calamari dish was Luke warm despite the cold sauce being placed on the side. Overall flavor was nice though. The theme of lukewarm food continued with the bbq chicken pizza. Not sure if the kitchen is moving faster than the waiter but food should be hot at a minimum. The passion fruit cocktail was great but the ginger beer cocktail was not as balanced as I would have expected. The ambiance is great. Sitting outside was nice snd the vibe makes you want to stay a while. Inadvertently stayed a while when our waiter disappeared for about 15 minutes after we finished eating and had to flag him down to get the check. Hotter for and more attentive staff would make this a 5/5.,2021-03-10,3,3,3,5
1,"Great staff, very accommodating. At one point we so conflicted about what wine to purchase... the staff were nice enough to provide a mini tasting of various wine options. Now that’s hospitality!!!",2021-02-27,5,5,5,5
2,"Ambiance was great, trendy yet retro. Cute spot for date night or getting some computer work done. Low lighting gives the space a soft and mellow feel.",2021-02-22,5,5,5,5
3,"Food was average. The menu read a lot more ""interesting"" than it tasted, however the food itself was tasty enough. Service was strange. We were served by 2 servers. The server who took our order seemed as if he could care less and could barely give us the time of day. However, later another server came to check on our food and finished the rest of our brunch service for us; she was lovely. The coffee tasted terrible. The environment was very pleasant.",2021-02-21,3,3,3,4
4,Food was not good. Not much options to pick from,2021-02-20,1,1,4,3
5,"Blah is the best word to describe the brunch during winter restaurant week.  The food was bland, and the service ok.  I would not return.",2021-02-07,3,2,3,5
6,"The service was overall disappointing. Our server was rude. It was supposed to be a fun intimate dinner, but we left shortly after finishing our drinks.",2021-01-30,1,1,1,4
7,"We waited 55 minutes for the first course to come out - and the rest of service was incredibly slow as well :( Had high expectations, but the service was very poor. A couple next to us left after first course as it took so long.",2021-01-29,1,3,1,1
8,I would definitely come back again!!! Ms. Tiffany was very friendly and helpful with anything we need! Great place.,2020-11-26,5,5,5,5
9,Such great service & good covid precautions.,2020-11-26,5,5,5,5
10,"Food was really salty, had to return it.",2020-11-16,2,1,4,3
11,A fine hotel restaurant with an interesting menu of well prepared elments.  A warm hipster atmosphere - just like the rest of the hotel.The team does a very good job of handling pandemic restrictions.  A standout was the calamari with lemon.,2020-10-23,4,4,4,4
12,Great little indoor/outdoor open dining for brunch. Very good! Highly recommend.,2020-10-11,5,5,4,5
13,Delicious brunch and great service! Ate outside on the patio and it was nice for covid-times because they have garage-style doors so tables inside felt airy as well.,2020-10-03,5,5,5,5
